text_max_length,default_value_str,unit,classification_choice_descriptor_type,default_value_bool,selection_options,selection_multiple,selection_multiple_n_min,selection_multiple_n_max,selection_default_options,numeric_min,numeric_max,numeric_distribution,numeric_distribution_params,default_value_num,created_at,uuid,tags,name,name_de,name_en,description,kb_module_name
255,unknown,centimeter,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},0.0,2026-01-20 12:47:52.094629+00:00,65ee7050-a2d2-4dcb-b657-fe29a60cec8b,,length_cm_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,millimeter,ClassificationChoiceDescriptorTypes.NUMERIC,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},0.0,2026-01-20 12:47:52.094675+00:00,2d5fdb30-3bf6-4fd6-befc-88a469d9001b,,length_mm_descriptor,unknown,unknown,unknown,star_upper_gi
255,unknown,unknown,ClassificationChoiceDescriptorTypes.TEXT,False,,False,0,1,{},-inf,inf,NumericDistributionChoices.UNKNOWN,{},-999.0,2026-01-20 12:47:52.094708+00:00,960963fd-e18e-45b0-92b5-b34375ce72b0,,additional_text_info,unknown,unknown,unknown,star_upper_gi
